442503	2025-03-31 07:34:27	84.766021728515625	54.266830444335938	94.940002441406236	5045	62.245609283447266	3693.39404296875	51.591705322265625	22.958827972412109	5.2051773071289062	55	55	55.219245910644531	55	55.364784240722656	55	55.666561126708984	2	55.129354999999997	25.419795989990231	33.149917602539062	8.7828922271728516	8.1769628524780273	0	1	0	1	0	1	3595.2701550000002	62.194301000000003	0	0	0	1	84.342117000000002	84.142116999999999	84.142116999999999	55	55.249991999999999	95.628414000000006	5261.5496709999998	3585.3833089999998	51.601610999999998	22.956334999999999	5.2106779999999997	95.665913000000003	5274.0492910000003	74.006663000000003	3585.1585679999998	51.604616999999998	22.951363000000001	5.2097249999999997	68.349513999999999	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	1	-0.047747999999999999	0	-12.833857999999999	0	-0.047747999999999999	-0.33423799999999998	0.0041409999999999997	-0.023498999999999999	5.0000260000000001	6.8857429999999997	100	100	0	0	14.766835	15	54.990842000000001	30	60	20	30	10	40	10	70	40	0	0	0	694.75767699999994	4	84.142116999999999	3721.5843490000002	0.420711	-400695.08275900001	100	100	0	0	14.473718999999999	15	51.596518000000003	30	60	20	40	10	30	10	70	40	0	0	0	691.07023700000002	4	84.342117000000002	3721.4320969999999	0.421711	-400691.396282	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.4962559999999	2251.0201849999999	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5044.9999889999999	5047.1925339999998	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731719999996	6647.3940549999998	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442504	2025-03-31 07:35:27	85.502426147460938	54.268966674804688	94.940002441406236	5045	61.966545104980469	3656.410400390625	52.452095031738281	22.609964370727539	5.2440047264099121	55	55	55.223526000976562	55	55.358364105224609	55	55.664421081542969	2	55.128819	28.00189208984375	33.971851348876953	8.7926416397094727	8.4980382919311523	0	1	1	0	0	1	3550.8810760000001	62.110308000000003	0	0	0	1	84.201569000000006	84.001569000000003	84.001569000000003	55	55.249991999999999	95.635746999999995	5258.9239319999997	3540.9042509999999	52.462466999999997	22.607785	5.2480589999999996	95.673246000000006	5271.4235520000002	74.738236000000001	3540.6795109999998	52.465473000000003	22.602813000000001	5.2471059999999996	69.053841000000006	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	0	-0.37510599999999999	0	-15.125359	0	-0.37510599999999999	-2.6257389999999998	0.0073330000000000001	-0.023498999999999999	5.6214050000000002	7.5162040000000001	100	100	0	0	14.670248000000001	15	54.568241	30	60	20	30	10	40	10	70	40	0	0	0	694.23848899999996	4	84.001569000000003	3677.5704150000001	0.42000799999999999	-400694.56286100001	100	100	0	0	14.375719999999999	15	51.15757	30	60	20	40	10	30	10	70	40	0	0	0	690.53328999999997	4	84.201569000000006	3677.4182040000001	0.42100799999999999	-400690.85862399999	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.4962559999999	2251.0201849999999	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5044.9999889999999	5047.1925339999998	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731719999996	6647.3940549999998	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442505	2025-03-31 07:36:27	85.961517333984375	54.268966674804688	94.940002441406236	5045	61.849277496337891	3568.830810546875	52.314044952392578	22.582141876220703	5.2599925994873047	55	55	55.212825775146477	55	55.360504150390625	55	55.658000946044922	2	55.125073999999998	26.553003311157227	34.957942962646484	8.8282670974731445	8.1354265213012695	0	1	0	1	0	1	3574.5238720000002	62.041187000000001	0	0	0	1	84.125145000000003	83.925145000000001	83.925145000000001	55	55.249991999999999	95.643341000000007	5255.72397	3563.312218	52.324696000000003	22.580010000000001	5.2652020000000004	95.680840000000003	5268.2235899999996	74.744071000000005	3563.0874939999999	52.327702000000002	22.575037999999999	5.2642490000000004	69.057355999999999	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	1	-0.45713799999999999	0	-15.699583000000001	0	-0.45713799999999999	-3.1999629999999999	0.0075940000000000001	-0.023498999999999999	6.547714	8.4432860000000005	100	100	0	0	14.526261999999999	15	54.566132000000003	30	60	20	30	10	40	10	70	40	0	0	0	694.09239400000001	4	83.925145000000001	3699.730368	0.419626	-400694.41637599998	100	100	0	0	14.231614	15	51.154069	30	60	20	40	10	30	10	70	40	0	0	0	690.38568299999997	4	84.125145000000003	3699.5781579999998	0.420626	-400690.71062799997	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.4962559999999	2251.0201849999999	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5044.9999889999999	5047.1925339999998	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731719999996	6647.3940549999998	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442506	2025-03-31 07:37:27	83.11590576171875	54.273246765136719	94.940002441406236	5045	62.232128143310547	3227.50146484375	52.005851745605469	22.843254089355469	5.2417201995849609	55	55	55.221385955810547	55	55.371204376220703	55	55.672981262207031	2	55.134704999999997	26.214452743530273	32.698627471923828	8.7981939315795898	8.0846357345581055	0	1	1	1	0	1	3508.047255	62.052784000000003	0	0	0	1	83.906593000000001	83.706592999999998	83.706592999999998	55	55.249991999999999	95.653665000000004	5257.5860560000001	3498.0243129999999	52.016959999999997	22.840430999999999	5.2481650000000002	95.691164000000001	5270.0856759999997	71.685927000000007	3497.799575	52.019965999999997	22.835459	5.2472120000000002	66.107215999999994	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	0	0.26601200000000003	0	-10.637534	0	0.26601200000000003	1.8620859999999999	0.010324	-0.023498999999999999	5.8756740000000001	7.7352439999999998	100	100	0	0	14.630724000000001	15	56.336233999999997	30	60	20	30	10	40	10	70	40	0	0	0	695.96695799999998	4	83.706592999999998	3634.3916850000001	0.41853299999999999	-400696.28983700002	100	100	0	0	14.341672000000001	15	52.988973999999999	30	60	20	40	10	30	10	70	40	0	0	0	692.330646	4	83.906593000000001	3634.2394450000002	0.41953299999999999	-400692.65448700002	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.4962559999999	2251.0201849999999	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5044.9999889999999	5047.1925339999998	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731719999996	6647.3940549999998	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442507	2025-03-31 07:38:27	84.413459777832031	54.275390625	94.940002441406236	5045	61.8193359375	3960.114013671875	51.309196472167969	22.830411911010746	5.1435093879699707	55	55	55.221385955810547	55	55.366924285888672	55	55.666561126708984	2	55.132565	25.184759140014648	34.479843139648438	8.7664070129394531	8.0880680084228516	0	1	0	0	0	1	3553.4208709999998	62.022579	0	0	0	1	84.116095999999999	83.916095999999996	83.916095999999996	55	55.249991999999999	95.653981999999999	5254.8189130000001	3543.7321440000001	51.320990999999999	22.827981999999999	5.1516270000000004	95.691480999999996	5267.3185329999997	71.808986000000004	3543.5074020000002	51.323996999999999	22.82301	5.1506730000000003	66.224684999999994	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	1	-0.39530599999999999	0	-15.266762	0	-0.39530599999999999	-2.7671420000000002	0.00031700000000000001	-0.023498999999999999	5.0081449999999998	6.8695789999999999	100	100	0	0	14.765573	15	56.265751999999999	30	60	20	30	10	40	10	70	40	0	0	0	696.03132500000004	4	83.916095999999996	3679.3371550000002	0.41958000000000001	-400696.35525099997	100	100	0	0	14.476231	15	52.915137999999999	30	60	20	40	10	30	10	70	40	0	0	0	692.39136900000005	4	84.116095999999999	3679.184886	0.42058000000000001	-400692.716258	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.4962559999999	2251.0201849999999	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5044.9999889999999	5047.1925339999998	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731719999996	6647.3940549999998	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442508	2025-03-31 07:39:27	83.9107666015625	54.268966674804688	94.940002441406236	5045	61.845565795898438	3793.17333984375	51.598129272460938	22.938495635986328	5.1263799667358398	55	55	55.217105865478509	55	55.362644195556641	55	55.653720855712891	2	55.125608999999997	26.05702018737793	33.795860290527344	8.7595701217651367	8.3784694671630859	0	1	1	0	0	1	3569.6726349999999	61.942570000000003	0	0	0	1	84.111739999999998	83.911739999999995	83.911739999999995	55	55.249991999999999	95.646801999999994	5251.6481880000001	3559.3270029999999	51.609929999999999	22.936254000000002	5.1385129999999997	95.684301000000005	5264.1478079999997	73.053192999999993	3559.1022680000001	51.612935999999998	22.931281999999999	5.1375599999999997	67.420945000000003	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	0	-0.452961	0	-15.670344999999999	0	-0.452961	-3.170725	-0.0071799999999999998	-0.023498999999999999	4.5388339999999996	6.4162499999999998	100	100	0	0	14.838523	15	55.547989000000001	30	60	20	30	10	40	10	70	40	0	0	0	695.38651200000004	4	83.911739999999995	3695.1808639999999	0.41955900000000002	-400695.71042399999	100	100	0	0	14.546697	15	52.168605999999997	30	60	20	40	10	30	10	70	40	0	0	0	691.71530299999995	4	84.111739999999998	3695.0285279999998	0.42055900000000002	-400692.04017699999	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.4962559999999	2251.0201849999999	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5044.9999889999999	5047.1925339999998	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731719999996	6647.3940549999998	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442509	2025-03-31 07:40:27	83.466575622558594	54.268966674804688	94.940002441406236	5045	61.381614685058594	3369.015625	52.262683868408203	22.875358581542969	5.1594977378845215	55	55	55.219245910644531	55	55.362644195556641	55	55.653720855712891	2	55.126143999999996	26.612804412841797	33.172309875488281	8.8020830154418945	8.2670488357543945	0	1	0	1	0	1	3564.1507430000001	61.825583999999999	0	0	0	1	83.984818000000004	83.784818000000001	83.784818000000001	55	55.249991999999999	95.651397000000003	5252.563862	3554.9513710000001	52.274563999999998	22.873021999999999	5.169924	95.688895000000002	5265.0634819999996	72.010689999999997	3554.7266209999998	52.277569999999997	22.86805	5.1689699999999998	66.411610999999994	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	1	0.13081000000000001	0	-11.583947	0	0.13081000000000001	0.91567299999999996	0.0045950000000000001	-0.023498999999999999	4.6999589999999998	6.5663179999999999	100	100	0	0	14.813478	15	56.153595000000003	30	60	20	30	10	40	10	70	40	0	0	0	695.96707300000003	4	83.784818000000001	3691.3317969999998	0.41892400000000002	-400696.29034599999	100	100	0	0	14.52337	15	52.794114	30	60	20	40	10	30	10	70	40	0	0	0	692.31748400000004	4	83.984818000000004	3691.1794930000001	0.41992400000000002	-400692.64171900001	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.4962559999999	2251.0201849999999	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5044.9999889999999	5047.1925339999998	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731719999996	6647.3940549999998	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442510	2025-03-31 07:41:27	83.604423522949219	54.268966674804688	94.940002441406236	5045	61.447151184082031	3239.829345703125	51.139045715332031	22.851814270019531	5.3148078918457031	55	55	55.225666046142578	55	55.366924285888672	55	55.666561126708984	2	55.13203	26.867328643798828	32.357131958007812	8.7935619354248047	8.0199708938598633	0	1	1	0	0	1	3588.7352430000001	61.745159000000001	0	0	0	1	83.778694000000002	83.578693999999999	83.578693999999999	55	55.249991999999999	95.663053000000005	5250.8567739999999	3579.0484029999998	51.150618000000001	22.849421	5.3263090000000002	95.700552000000002	5263.3563940000004	73.283564999999996	3578.8236590000001	51.153624000000001	22.844449000000001	5.3253560000000002	67.636133999999998	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	0	-0.24387	0	-14.206707	0	-0.24387	-1.707087	0.011657000000000001	-0.023498999999999999	5.1820779999999997	7.0645550000000004	100	100	0	0	14.738537000000001	15	55.418874000000002	30	60	20	30	10	40	10	70	40	0	0	0	695.15741100000002	4	83.578693999999999	3714.1896459999998	0.41789300000000001	-400695.47964199999	100	100	0	0	14.445924	15	52.030380999999998	30	60	20	40	10	30	10	70	40	0	0	0	691.47630600000002	4	83.778694000000002	3714.037335	0.41889300000000002	-400691.79949800001	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.4962559999999	2251.0201849999999	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5044.9999889999999	5047.1925339999998	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731719999996	6647.3940549999998	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442511	2025-03-31 07:42:27	83.575698852539062	54.273246765136719	94.940002441406236	5045	61.888034820556641	3424.87646484375	51.925586700439453	22.838973999023441	5.3502092361450195	55	55	55.219245910644531	55	55.371204376220703	55	55.668701171875	2	55.133099999999999	26.31260871887207	33.339019775390625	8.7843160629272461	7.8955469131469727	0	1	0	1	0	1	3548.1272789999998	61.676340000000003	0	0	0	1	83.679419999999993	83.479420000000005	83.479420000000005	55	55.249991999999999	95.673742000000004	5251.1969630000003	3539.2367589999999	51.936807000000002	22.837394	5.3665789999999998	95.711241000000001	5263.6965829999999	71.966245000000001	3539.012005	51.939813000000001	22.832422000000001	5.3656249999999996	66.363962999999998	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	1	0.048598000000000002	0	-12.159431	0	0.048598000000000002	0.34018900000000002	0.010689000000000001	-0.023498999999999999	4.8086970000000004	6.6761239999999997	100	100	0	0	14.796576	15	56.182183999999999	30	60	20	30	10	40	10	70	40	0	0	0	695.97875999999997	4	83.479420000000005	3674.9988910000002	0.41739700000000002	-400696.300483	100	100	0	0	14.506302	15	52.820780999999997	30	60	20	40	10	30	10	70	40	0	0	0	692.32708300000002	4	83.679419999999993	3674.8464789999998	0.41839700000000002	-400692.64976900001	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.4962559999999	2251.0201849999999	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5044.9999889999999	5047.1925339999998	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731719999996	6647.3940549999998	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442512	2025-03-31 07:43:27	83.658737182617188	54.264686584472656	94.940002441406236	5045	62.218528747558594	3627.516845703125	52.031536102294922	22.783327102661133	5.1126761436462402	55	55	55.212825775146477	55	55.356224060058594	55	55.651580810546875	2	55.121329000000003	26.133258819580082	34.288669586181641	8.6273040771484375	8.1038198471069336	0	1	1	0	0	1	3540.8075899999999	61.756179000000003	0	0	0	1	83.779053000000005	83.579053000000002	83.579053000000002	55	55.249991999999999	95.673730000000006	5247.1822860000002	3531.9293039999998	52.042701999999998	22.782623999999998	5.1316079999999999	95.711228000000006	5259.6819059999998	74.564753999999994	3531.7045509999998	52.045707999999998	22.777652	5.1306539999999998	68.875801999999993	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	0	-0.57352499999999995	0	-16.514296999999999	0	-0.57352499999999995	-4.0146769999999998	-1.2999999999999999e-05	-0.023498999999999999	5.5568929999999996	7.4532100000000003	100	100	0	0	14.680275999999999	15	54.675066000000001	30	60	20	30	10	40	10	70	40	0	0	0	694.35534199999995	4	83.579053000000002	3667.7821939999999	0.41789500000000002	-400694.677563	100	100	0	0	14.385510999999999	15	51.261659999999999	30	60	20	40	10	30	10	70	40	0	0	0	690.64717199999996	4	83.779053000000005	3667.629739	0.41889500000000002	-400690.97035600001	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.4962559999999	2251.0201849999999	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5044.9999889999999	5047.1925339999998	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731719999996	6647.3940549999998	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442513	2025-03-31 07:44:27	80.67061614990233	54.268966674804688	94.940002441406236	5045	61.874088287353523	3704.694580078125	51.739387512207031	23.207098007202148	5.1709170341491699	55	55	55.217105865478509	55	55.360504150390625	55	55.649436950683594	2	55.124003000000002	26.193059921264648	32.326560974121094	8.2354412078857422	8.1290988922119141	0	1	0	1	0	1	3546.1724989999998	61.761884000000002	0	0	0	1	83.609238000000005	83.409238000000002	83.409238000000002	55	55.249991999999999	95.676186000000001	5247.2769269999999	3538.0763430000002	51.749960000000002	23.206657	5.1898879999999998	95.713684999999998	5259.7765470000004	71.573314999999994	3537.85158	51.752966000000001	23.201685000000001	5.1889349999999999	65.988960000000006	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	1	0.013520000000000001	0	-12.404979000000001	0	0.013520000000000001	0.094641000000000003	0.0024559999999999998	-0.023498999999999999	4.9101629999999998	6.7716139999999996	100	100	0	0	14.780804	15	56.407187999999998	30	60	20	30	10	40	10	70	40	0	0	0	696.18799200000001	4	83.409238000000002	3674.0752550000002	0.41704599999999997	-400696.50936199998	100	100	0	0	14.491459000000001	15	53.056542	30	60	20	40	10	30	10	70	40	0	0	0	692.548001	4	83.609238000000005	3673.9227999999998	0.41804599999999997	-400692.87033300003	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.4962559999999	2251.0201849999999	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5044.9999889999999	5047.1925339999998	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731719999996	6647.3940549999998	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442514	2025-03-31 07:45:27	82.571044921875	54.271110534667969	94.940002441406236	5045	61.714450836181641	3745.659423828125	51.681598663330078	22.945985794067383	5.0944042205810547	55	55	55.240646362304688	55	55.371204376220703	55	55.705085754394531	2	55.147011999999997	25.603612899780273	32.255771636962891	8.1570119857788086	8.1183185577392578	0	1	1	0	0	1	3565.820123	61.828451000000001	0	0	0	1	83.456199999999995	83.256200000000007	83.256200000000007	55	55.249991999999999	95.687486000000007	5247.4503050000003	3556.9727280000002	51.691544	22.946382	5.1125819999999997	95.724985000000004	5259.9499249999999	72.191818999999995	3556.7479739999999	51.69455	22.941410000000001	5.1116289999999998	66.586816999999996	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	0	0.024767999999999998	0	-12.326243	0	0.024767999999999998	0.173377	0.011299999999999999	-0.023498999999999999	4.8968369999999997	6.7651709999999996	100	100	0	0	14.782875000000001	15	56.048470999999999	30	60	20	30	10	40	10	70	40	0	0	0	695.83134600000005	4	83.256200000000007	3692.7446839999998	0.41628100000000001	-400696.151939	100	100	0	0	14.492461	15	52.685436000000003	30	60	20	40	10	30	10	70	40	0	0	0	692.17789600000003	4	83.456199999999995	3692.592263	0.41728100000000001	-400692.49945200002	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.4962559999999	2251.0201849999999	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5044.9999889999999	5047.1925339999998	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731719999996	6647.3940549999998	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
